full_text,user,location,date,tweet_id,number_rt,number_likes,id_key_word
" @Danie_Rodrigez Hola @Danie_Rodrigez buenos días, la vía La Pintada - Medellín continúa con cierre total. Las autoridades del sector trabajan en restablecer la movilidad. El tiempo de apertura se encuentra en verificación. Cualquier novedad será comunicada en nuestras redes sociales.",numeral767,Colombia,2022-05-18 15:09:13,1526942992313070000,0,0,13
 Ley General de Movilidad y Seguridad Vial… no mmes!!! Directo a toda corrupción.,valle_medellin,CDMX,2022-05-18 14:45:20,1526936982840130000,0,0,13
" @JorgeGa19062863 Hola @JorgeGa19062863 buenos días, la vía Santa Fé de Antioquia - Medellín continúa con cierre total. Las autoridades del sector trabajan en restablecer la movilidad. El tiempo de apertura se encuentra en verificación. Cualquier novedad será comunicada en nuestras redes sociales.",numeral767,Colombia,2022-05-18 13:58:45,1526925258636160000,0,1,13
" Desde tempranas horas se ha presentado dificultad en la movilidad de la autopista norte hacia nuestras terminales de destino en Medellín, lo que ha generado que los vehículos tarden mucho más de lo normal para retornar e iniciar un nuevo servicio. Ofrecemos disculpas.",BellanitaGroup,Bello - Antioquia,2022-05-18 13:11:53,1526913463599130000,1,8,13
" Con seis cambios viales, se mejorará la movilidad en el sector de San Diego, en Medellín. La señalización de 38 pasos peatonales y una nueva intersección semafórica hacen parte de esta intervención de movilidad.",vivirpoblado,Medellín - Colombia,2022-05-18 13:01:33,1526910864762320000,0,0,13
" Te invitamos al inicio de nuestra giras presenciales de movilidad sostenible y sostenibilidad 2022, de la mano de @latamobility y @latamgreen Latam Mobility Colombia | Boletos 🎟: Net Zero Leadership Forum | Registro sin costo:",IILatam,Panamá,2022-05-18 11:38:11,1526889883788360000,1,4,13
 Este es el Puente colgante entre Medellín y Galilea resguardo de Honduras Morales. Así sobreviven comunidades de esta zona dl municipio. La Comunidad trabaja en Minga por la ampliación del camino ancestral para mejorar la movilidad Inf Hoy Noticias mles 18 de mayo You tube,HoyNoticias2,Cali-Valle del Cauca,2022-05-18 02:42:00,1526754949991890000,7,3,13
 Este es el Puente colgante entre Medellín y Galilea resguardo de Honduras Morales. Así sobreviven comunidades de esta zona dl municipio. La Comunidad trabaja en Minga por la ampliación del camino ancestral para mejorar la movilidad Inf Hoy Noticias mles 18 de mayo You tube,mapias15,Cali- Colombia,2022-05-18 02:37:50,1526753903211160000,31,34,13
 #Martes de Ahorro Energetico💡🌿 Vietnam impulsa ahorro energético en industria - 👉https://t.co/vvDjxcbDxk Vive una experiencia RECICLANDO! #Reciclar #AhorroEnergia #Colombia #Bogota #Medellin,AEE_Colombia,Bogotá-Colombia,2022-05-18 00:00:29,1526714303453320000,0,1,14
" ¿Donde queda Ruta Naranja? #RutaNaranja está ubicada en el barrio perpetuo socorrol, que en 2019 fue declarada como el #Distrito #Creativo y #Cultural de #Medellín. @Ruta_N @ivancastanop #ValleDelSoftware #comunas #rural #corregimientos #webstories @alcaldiademed",ComunasMed,Medellin,2022-05-21 18:50:00,1528085718261720000,0,0,16
 El nuevo programa de Tecnología en Gestión Logística del Pascual Bravo aportará al desarrollo de esta industria en Medellín #medellin #comunas #rural #corregimientos #webstories @alcaldiademed @IUPascualBravo,ComunasMed,Medellin,2022-05-21 18:50:00,1528085717594870000,0,0,16
 Se hace un llamado a la prudencia en las vías para proteger la fauna silvestre. #medellin #comunas #rural #corregimientos #webstories @alcaldiademed,ComunasMed,Medellin,2022-05-21 17:12:00,1528061055192260000,0,0,16
 Ya están publicadas las condiciones del contrato de interventoría para la construcción del Metro de la 80 @checholopezm @metrodela80 #medellin #comunas #rural #corregimientos #webstories @alcaldiademed,ComunasMed,Medellin,2022-05-21 13:57:00,1528011981734560000,0,0,16
" Este lunes, 23 de mayo, empiezan las sanciones por exceso de velocidad en la Avenida 80 #medellin #comunas #medellinrural #corregimientos #webstories @alcaldiademed @sttmed #medellin #comunas #rural #corregimientos #webstories @alcaldiademed",ComunasMed,Medellin,2022-05-21 13:54:00,1528011228366370000,0,0,16
 Rendición de cuentas Emvarias 2021 #medellin #comunas #rural #corregimientos #webstories @alcaldiademed @checholopezm @CarlosFBorja,ComunasMed,Medellin,2022-05-21 12:30:00,1527990089128760000,0,0,16
 Más de 28.000 habitantes de Pedregal ya disfrutan de un nuevo parque recreativo #medellin #comunas #rural #corregimientos #webstories @alcaldiademed @NataliaUrregoA @camivillamizar,ComunasMed,Medellin,2022-05-21 11:43:00,1527978259731860000,0,0,16
 Rendición de cuentas Emvarias 2021 #medellin #comunas #rural #corregimientos #webstories @alcaldiademed @checholopezm @CarlosFBorja,ComunasMed,Medellin,2022-05-21 11:38:00,1527977002266920000,0,0,16
